order_id,order_date,product_name,category,size,quantity,total_price
1,2023-05-30 15:28:00,Black Tea,Tea,Large,1,3.0
2,2023-04-14 00:36:00,Espresso,Coffee,Double,4,10.0
3,2023-05-24 23:23:00,Espresso,Coffee,Double,4,10.0
4,2023-05-02 12:01:00,Green Tea,Tea,Medium,3,9.0
5,2023-03-09 09:41:00,Espresso,Coffee,Double,1,2.5
6,2023-06-29 06:03:00,Black Tea,Tea,Small,4,8.0
7,2023-02-01 08:13:00,Chocolate Cake,Dessert,Slice,2,6.0
8,2023-03-09 13:32:00,Black Tea,Tea,Medium,4,10.0
9,2023-06-21 09:37:00,Blueberry Muffin,Snack,Standard,3,6.0
10,2023-02-12 04:05:00,Espresso,Coffee,Single,3,6.0
11,2023-02-25 01:50:00,Green Tea,Tea,Medium,1,3.0
12,2023-04-05 02:40:00,Espresso,Coffee,Single,2,4.0
13,2023-05-26 13:27:00,Croissant,Snack,Standard,4,6.0
14,2023-02-15 05:48:00,Espresso,Coffee,Double,2,5.0
15,2023-01-04 00:07:00,Iced Coffee,Coffee,Large,1,4.0
16,2023-03-06 04:37:00,Blueberry Muffin,Snack,Standard,2,4.0
17,2023-01-30 19:18:00,Croissant,Snack,Standard,4,6.0
18,2023-02-23 11:43:00,Black Tea,Tea,Large,1,3.0
19,2023-06-12 02:42:00,Green Tea,Tea,Large,1,3.5
20,2023-05-31 05:13:00,Espresso,Coffee,Double,3,7.5
21,2023-04-10 23:15:00,Espresso,Coffee,Single,1,2.0
22,2023-05-14 17:07:00,Chocolate Cake,Dessert,Slice,2,6.0
23,2023-05-01 12:09:00,Cheesecake,Dessert,Slice,2,7.0
24,2023-06-26 11:32:00,Iced Coffee,Coffee,Small,4,12.0
25,2023-02-11 03:29:00,Chocolate Cake,Dessert,Slice,2,6.0
26,2023-01-17 00:49:00,Cappuccino,Coffee,Large,1,4.0
27,2023-01-15 14:05:00,Cappuccino,Coffee,Large,4,16.0
28,2023-05-04 11:45:00,Green Tea,Tea,Small,3,7.5
29,2023-03-27 18:11:00,Iced Coffee,Coffee,Large,3,12.0
30,2023-01-16 16:31:00,Cappuccino,Coffee,Medium,2,7.0
31,2023-06-27 05:55:00,Cheesecake,Dessert,Slice,2,7.0
32,2023-05-08 21:32:00,Cappuccino,Coffee,Medium,4,14.0
33,2023-03-29 19:21:00,Blueberry Muffin,Snack,Standard,2,4.0
34,2023-06-02 01:34:00,Iced Coffee,Coffee,Medium,1,3.5
35,2023-03-24 04:28:00,Blueberry Muffin,Snack,Standard,4,8.0
36,2023-01-26 16:40:00,Black Tea,Tea,Small,3,6.0
37,2023-01-29 01:52:00,Iced Coffee,Coffee,Small,2,6.0
